ordering,selection,placement,mean_gap_pct,mean_gap_c,mean_gap_bkw,mean_gap_nt,instances
width,max-area,SN,19.5908,16.95767619047619,19.371792307692306,20.42142857142857,104
height,first-fit,LM,19.6573,21.98412380952381,14.89903076923077,19.84285714285714,104
height,max-area,LM,19.6573,21.98412380952381,14.89903076923077,19.84285714285714,104
area,max-area,TN,19.6797,17.99602857142857,14.097761538461539,21.22142857142857,104
perimeter,max-area,LM,19.6846,14.986780952380952,18.03686923076923,21.4,104
perimeter,max-area,SN,20.0253,17.35449523809524,17.97596153846154,21.207142857142856,104
height,tre,TN,20.1703,17.658733333333334,15.0673,21.87142857142857,104
height,tre,MaxD,20.3715,18.3664,17.41826923076923,21.521428571428572,104
height,first-fit,MaxD,20.5381,21.402119047619045,15.886215384615385,21.142857142857142,104
height,max-area,MaxD,20.5381,21.402119047619045,15.886215384615385,21.142857142857142,104
area,max-area,LM,20.9812,18.84259523809524,17.565707692307694,22.257142857142856,104
height,tre,LM,20.9860,21.75924761904762,19.04646923076923,21.114285714285714,104
height,fitness-number,LM,20.9889,15.324071428571429,21.27243076923077,22.635714285714286,104
height,fitness-number,MaxD,20.9889,15.324071428571429,21.27243076923077,22.635714285714286,104
height,fitness-number,MinD,20.9889,15.324071428571429,21.27243076923077,22.635714285714286,104
height,fitness-number,RM,20.9889,15.324071428571429,21.27243076923077,22.635714285714286,104
height,fitness-number,SN,20.9889,15.324071428571429,21.27243076923077,22.635714285714286,104
height,fitness-number,TN,20.9889,15.324071428571429,21.27243076923077,22.635714285714286,104
height,first-fit,SN,21.1556,21.51455238095238,15.798076923076923,22.042857142857144,104
height,max-area,SN,21.1556,21.51455238095238,15.798076923076923,22.042857142857144,104
area,max-area,SN,21.1761,17.738090476190475,18.908653846153847,22.62857142857143,104
area,max-area,MinD,21.2573,18.683857142857143,18.299676923076923,22.57857142857143,104
area,max-area,RM,21.3643,18.379628571428572,18.532046153846153,22.785714285714285,104
